,name,asset_class,region,currency
JXI,US Utilities,equities,US,USD
ESPO,Vector Gaming,equities,Global,USD
SPY,S&P 500,equities,US,USD
IGSB,1-5 IG US Bonds,bonds,US,USD
RIGS,World Bonds,bonds,Global,USD
UBSM1,Multi-Asset,multi-asset,Global,USD
