ticker,currency,asset_class
SPY230120P00380000,USD,options
SPY230120P00370000,USD,options
SPY230217P00360000,USD,options
SPY230217P00365000,USD,options
SPY230317P00350000,USD,options
SPY230317P00360000,USD,options
SPY230317P00380000,USD,options
SPY230317P00370000,USD,options
SPY230317C00410000,USD,options
SPY230317C00415000,USD,options
SPY230616C00430000,USD,options
